pays,code_pays,année,produit,code_produit,dispo_int,dispo_kcal,dispo_kg,pertes,autres_utilisations
Arménie,1,2013,Blé,2511,554000.0,1024.0,130.6,32000.0,0.0
Arménie,1,2013,Orge,2513,198000.0,0.0,0.0,15000.0,26000.0
Arménie,1,2013,Maïs,2514,102000.0,0.0,0.03,7000.0,
Arménie,1,2013,Seigle,2515,1000.0,1.0,0.12,0.0,
Arménie,1,2013,Avoine,2516,6000.0,2.0,0.37,0.0,
Arménie,1,2013,Millet,2517,0.0,,,,
Arménie,1,2013,Sorgho,2518,0.0,,,,
Arménie,1,2013,"Céréales, Autres",2520,21000.0,14.0,1.96,1000.0,12000.0
Arménie,1,2013,Pommes de Terre,2531,672000.0,82.0,45.1,96000.0,16000.0
Arménie,1,2013,Manioc,2532,0.0,,,,
Arménie,1,2013,Racines nda,2534,0.0,,,,
Arménie,1,2013,"Sucre, betterave",2537,55000.0,,,,
Arménie,1,2013,Sucre Eq Brut,2542,93000.0,302.0,33.03,,0.0
Arménie,1,2013,Edulcorants Autres,2543,5000.0,18.0,1.82,,0.0
Arménie,1,2013,Haricots,2546,5000.0,,,0.0,
Arménie,1,2013,Pois,2547,2000.0,,,,
Arménie,1,2013,Légumineuses Autres,2549,3000.0,0.0,0.0,0.0,
Arménie,1,2013,Noix,2551,6000.0,18.0,2.15,0.0,
Arménie,1,2013,Soja,2555,0.0,0.0,0.0,,
Arménie,1,2013,Arachides Decortiquees,2556,1000.0,6.0,0.4,,
Arménie,1,2013,Graines de tournesol,2557,2000.0,,,,
Arménie,1,2013,Graines Colza/Moutarde,2558,0.0,0.0,0.0,,
Arménie,1,2013,Coco (Incl Coprah),2560,0.0,0.0,0.08,,
Arménie,1,2013,Sésame,2561,0.0,0.0,0.01,,
Arménie,1,2013,Olives,2563,3000.0,3.0,0.92,,
Arménie,1,2013,"Plantes Oleiferes, Autre",2570,1000.0,0.0,0.0,,
Arménie,1,2013,Huile de Soja,2571,1000.0,4.0,0.18,,
Arménie,1,2013,Huile d'Arachide,2572,0.0,0.0,0.0,,
Arménie,1,2013,Huile de Tournesol,2573,30000.0,216.0,8.85,,3000.0
Arménie,1,2013,Huile de Colza&Moutarde,2574,0.0,0.0,0.0,,
Arménie,1,2013,Huile Graines de Coton,2575,0.0,0.0,0.0,,0.0
Arménie,1,2013,Huile de Palmistes,2576,0.0,0.0,0.01,,
Arménie,1,2013,Huile de Palme,2577,1000.0,,,,1000.0
Arménie,1,2013,Huile de Coco,2578,1000.0,7.0,0.3,,
Arménie,1,2013,Huile de Sésame,2579,0.0,0.0,0.0,,
Arménie,1,2013,Huile d'Olive,2580,0.0,1.0,0.03,,0.0
Arménie,1,2013,Huile de Germe de Maïs,2582,0.0,3.0,0.14,,
Arménie,1,2013,Huil Plantes Oleif Autr,2586,2000.0,0.0,0.01,,2000.0
Arménie,1,2013,Tomates,2601,273000.0,41.0,88.1,11000.0,
Arménie,1,2013,Oignons,2602,53000.0,15.0,17.57,0.0,
Arménie,1,2013,"Légumes, Autres",2605,764000.0,143.0,243.22,27000.0,
Arménie,1,2013,"Oranges, Mandarines",2611,14000.0,4.0,4.78,,
Arménie,1,2013,Citrons & Limes,2612,1000.0,0.0,0.31,,
Arménie,1,2013,Pamplemousse,2613,2000.0,0.0,0.52,,
Arménie,1,2013,"Agrumes, Autres",2614,1000.0,0.0,0.46,,
Arménie,1,2013,Bananes,2615,2000.0,1.0,0.77,,
Arménie,1,2013,Bananes plantains,2616,8000.0,5.0,2.55,,
Arménie,1,2013,Pommes,2617,107000.0,33.0,24.79,8000.0,
Arménie,1,2013,Ananas,2618,0.0,0.0,0.16,,
Arménie,1,2013,Dattes,2619,0.0,1.0,0.15,,
Arménie,1,2013,Raisin,2620,235000.0,20.0,13.54,12000.0,175000.0
Arménie,1,2013,"Fruits, Autres",2625,206000.0,76.0,62.84,19000.0,
Arménie,1,2013,Café,2630,12000.0,5.0,4.09,,
Arménie,1,2013,Feve de Cacao,2633,7000.0,37.0,2.29,,
Arménie,1,2013,Thé,2635,0.0,0.0,0.12,,
Arménie,1,2013,Poivre,2640,0.0,0.0,0.03,,
Arménie,1,2013,Piments,2641,0.0,0.0,0.02,,
Arménie,1,2013,Girofles,2642,0.0,,,,
Arménie,1,2013,"Épices, Autres",2645,0.0,0.0,0.02,,
Arménie,1,2013,Vin,2655,4000.0,3.0,1.48,,
Arménie,1,2013,Bière,2656,19000.0,9.0,6.46,,
Arménie,1,2013,Boissons Fermentés,2657,0.0,0.0,0.1,,
Arménie,1,2013,Boissons Alcooliques,2658,1000.0,1.0,0.17,,
Arménie,1,2013,"Alcool, non Comestible",2659,0.0,,,,0.0
Arménie,1,2013,Aliments pour enfants,2680,0.0,2.0,0.16,,
Arménie,1,2013,Viande de Bovins,2731,61000.0,114.0,19.66,,2000.0
Arménie,1,2013,Viande d'Ovins/Caprins,2732,9000.0,22.0,3.02,,
Arménie,1,2013,Viande de Suides,2733,31000.0,72.0,9.67,,2000.0
Arménie,1,2013,Viande de Volailles,2734,40000.0,45.0,13.35,,
Arménie,1,2013,"Viande, Autre",2735,0.0,0.0,0.0,,
Arménie,1,2013,Abats Comestible,2736,17000.0,14.0,4.59,0.0,3000.0
Arménie,1,2013,Graisses Animales Crue,2737,11000.0,78.0,3.83,0.0,0.0
Arménie,1,2013,"Beurre, Ghee",2740,5000.0,35.0,1.76,,
Arménie,1,2013,Crème,2743,0.0,0.0,0.01,,
Arménie,1,2013,Oeufs,2744,35000.0,45.0,11.69,,0.0
Arménie,1,2013,Miel,2745,2000.0,6.0,0.7,,
Arménie,1,2013,Poissons Eau Douce,2761,10000.0,6.0,3.28,,0.0
Arménie,1,2013,Perciform,2762,0.0,0.0,0.07,,0.0
Arménie,1,2013,Poissons Pelagiques,2763,11000.0,2.0,0.83,,0.0
Arménie,1,2013,"Poissons Marins, Autres",2764,1000.0,0.0,0.18,,0.0
Arménie,1,2013,Crustacés,2765,0.0,0.0,0.02,,0.0
Arménie,1,2013,Cephalopodes,2766,0.0,0.0,0.0,,0.0
Arménie,1,2013,"Mollusques, Autres",2767,0.0,0.0,0.0,,0.0
Arménie,1,2013,Animaux Aquatiques Autre,2769,0.0,0.0,0.0,,0.0
Arménie,1,2013,Plantes Aquatiques,2775,0.0,0.0,0.0,,0.0
Arménie,1,2013,Huiles de Poissons,2781,0.0,0.0,0.0,,0.0
Arménie,1,2013,Huiles de Foie de Poisso,2782,0.0,0.0,0.0,,0.0
Arménie,1,2013,Riz (Eq Blanchi),2805,10000.0,34.0,3.18,,
Arménie,1,2013,Lait - Excl Beurre,2848,671000.0,351.0,209.03,,
Arménie,1,2013,Miscellanees,2899,,3.0,,,
Afghanistan,2,2013,Blé,2511,5992000.0,1369.0,160.23,775000.0,
Afghanistan,2,2013,Orge,2513,524000.0,26.0,2.92,52000.0,
Afghanistan,2,2013,Maïs,2514,313000.0,21.0,2.5,31000.0,
Afghanistan,2,2013,Millet,2517,13000.0,3.0,0.4,1000.0,
Afghanistan,2,2013,"Céréales, Autres",2520,0.0,0.0,0.0,,
Afghanistan,2,2013,Pommes de Terre,2531,262000.0,15.0,7.53,9000.0,
Afghanistan,2,2013,"Sucre, canne",2536,90000.0,,,,
Afghanistan,2,2013,"Sucre, betterave",2537,15000.0,,,,
Afghanistan,2,2013,Sucre Eq Brut,2542,255000.0,84.0,8.35,,
Afghanistan,2,2013,Edulcorants Autres,2543,16000.0,2.0,0.53,,
Afghanistan,2,2013,Légumineuses Autres,2549,86000.0,23.0,2.44,3000.0,
Afghanistan,2,2013,Noix,2551,44000.0,12.0,1.45,,
Afghanistan,2,2013,Graines de tournesol,2557,3000.0,,,,
Afghanistan,2,2013,Graines de coton,2559,27000.0,,,,
Afghanistan,2,2013,Coco (Incl Coprah),2560,0.0,0.0,0.0,,
Afghanistan,2,2013,Sésame,2561,21000.0,9.0,0.52,1000.0,
Afghanistan,2,2013,Olives,2563,7000.0,0.0,0.06,0.0,
Afghanistan,2,2013,"Plantes Oleiferes, Autre",2570,3000.0,,,0.0,
Afghanistan,2,2013,Huile de Soja,2571,16000.0,13.0,0.53,,
Afghanistan,2,2013,Huile d'Arachide,2572,0.0,0.0,0.0,,
Afghanistan,2,2013,Huile de Tournesol,2573,23000.0,18.0,0.75,,
Afghanistan,2,2013,Huile de Colza&Moutarde,2574,2000.0,2.0,0.07,,
Afghanistan,2,2013,Huile Graines de Coton,2575,5000.0,3.0,0.12,,1000.0
Afghanistan,2,2013,Huile de Palme,2577,119000.0,51.0,2.09,,55000.0
Afghanistan,2,2013,Huile de Sésame,2579,1000.0,1.0,0.05,,
Afghanistan,2,2013,Huile d'Olive,2580,1000.0,0.0,0.02,,
Afghanistan,2,2013,Huil Plantes Oleif Autr,2586,361000.0,2.0,0.08,,359000.0
Afghanistan,2,2013,Tomates,2601,0.0,0.0,0.0,,
Afghanistan,2,2013,"Légumes, Autres",2605,1007000.0,17.0,28.97,122000.0,
Afghanistan,2,2013,"Oranges, Mandarines",2611,145000.0,4.0,4.75,0.0,
Afghanistan,2,2013,"Agrumes, Autres",2614,41000.0,1.0,1.29,2000.0,
Afghanistan,2,2013,Bananes,2615,82000.0,4.0,2.7,,
Afghanistan,2,2013,Pommes,2617,72000.0,3.0,2.22,4000.0,
Afghanistan,2,2013,Ananas,2618,0.0,0.0,0.0,,
Afghanistan,2,2013,Dattes,2619,1000.0,0.0,0.02,,
Afghanistan,2,2013,Raisin,2620,513000.0,29.0,15.8,31000.0,
